"dateAndTime","name","eventCode"
"2019-05-08 15:12:03","cup",1
"2019-05-08 15:12:09","cup",0
"2019-05-08 15:12:13","cup",1
"2019-05-08 15:12:23","cup",0
"2019-05-08 15:12:26","cup",1
"2019-05-08 15:12:32","cupboard4",1
"2019-05-08 15:12:35","cup",0
"2019-05-08 15:12:38","cupboard4",0
"2019-05-08 15:14:36","door",0
"2019-05-08 15:15:46","door",1
"2019-05-08 15:15:49","door",0
"2019-05-08 15:15:53","kettle",1
"2019-05-08 15:15:54","kettle",0
"2019-05-08 15:15:55","kettle",1
"2019-05-08 15:16:04","kettle",0
"2019-05-08 15:16:08","cupboard4",1
"2019-05-08 15:16:10","cup",1
"2019-05-08 15:16:12","cupboard4",0
"2019-05-08 15:16:14","cup",0
"2019-05-08 15:16:17","cupboard3",1
"2019-05-08 15:16:31","cup",1
"2019-05-08 15:16:33","cup",0
"2019-05-08 15:16:42","cupboard3",0
"2019-05-08 15:17:25","kettle",1
"2019-05-08 15:17:38","kettle",0
"2019-05-08 15:17:40","cup",1
"2019-05-08 15:17:45","cup",0
"2019-05-08 15:17:59","cup",1
"2019-05-08 15:18:06","cup",0
"2019-05-08 15:18:23","cup",1
"2019-05-08 15:18:27","cup",0
"2019-05-08 15:19:37","cup",1
"2019-05-08 15:19:40","cup",0
"2019-05-08 15:20:20","cup",1
"2019-05-08 15:20:23","cup",0
"2019-05-08 15:20:57","cup",1
"2019-05-08 15:21:00","cup",0
"2019-05-08 15:21:25","cup",1
"2019-05-08 15:21:30","cup",0
"2019-05-08 15:21:55","cup",1
"2019-05-08 15:21:59","cup",0
"2019-05-08 15:22:22","cup",1
"2019-05-08 15:22:26","cup",0
"2019-05-08 15:22:39","cup",1
"2019-05-08 15:22:43","cup",0
"2019-05-08 15:23:22","cup",1
"2019-05-08 15:23:26","cup",0
"2019-05-08 15:23:44","cup",1
"2019-05-08 15:23:49","cup",0
"2019-05-08 15:24:16","cup",1
"2019-05-08 15:24:21","cup",0
"2019-05-08 15:24:42","cup",1
"2019-05-08 15:24:47","cup",0
"2019-05-08 15:25:08","cup",1
"2019-05-08 15:25:13","cup",0
"2019-05-08 15:25:32","cup",1
"2019-05-08 15:25:37","cup",0
"2019-05-08 15:25:54","cup",1
"2019-05-08 15:26:00","cup",0
"2019-05-08 15:26:20","cup",1
"2019-05-08 15:26:24","cup",0
"2019-05-08 15:26:40","cup",1
"2019-05-08 15:26:45","cup",0
"2019-05-08 15:26:59","cup",1
"2019-05-08 15:27:04","cup",0
"2019-05-08 15:27:19","cup",1
"2019-05-08 15:27:24","cup",0
"2019-05-08 15:27:29","cup",1
"2019-05-08 15:27:35","cup",0
"2019-05-08 15:27:38","cup",1
"2019-05-08 15:27:43","cup",0
"2019-05-08 15:27:49","door",1
"2019-05-08 15:27:53","door",0
"2019-05-08 15:29:16","door",1
"2019-05-08 15:52:20","kettle",1
"2019-05-08 15:52:49","kettle",0
"2019-05-08 15:53:09","door",0
"2019-05-08 15:55:14","kettle",1
"2019-05-08 15:55:29","kettle",0
"2019-05-08 16:02:00","kettle",1
"2019-05-08 16:02:10","door",1
"2019-05-08 16:02:13","door",1
"2019-05-08 16:02:13","door",0
"2019-05-08 16:02:14","door",0
"2019-05-08 16:03:44","door",1
"2019-05-08 16:03:52","cup",1
"2019-05-08 16:04:12","cup",1
"2019-05-08 16:04:12","cup",0
"2019-05-08 16:04:20","cup",0
"2019-05-08 16:04:23","cup",1
"2019-05-08 16:04:26","cup",0
"2019-05-08 16:04:27","cup",1
"2019-05-08 16:04:38","cup",0
"2019-05-08 16:04:47","cup",1
"2019-05-08 16:04:50","cupboard4",1
"2019-05-08 16:04:52","cup",0
"2019-05-08 16:04:54","cupboard4",0
"2019-05-08 16:05:02","door",0
"2019-05-08 16:07:52","door",1
"2019-05-08 16:07:56","door",0
"2019-05-08 16:07:59","kettle",0
"2019-05-08 16:08:15","cupboard4",1
"2019-05-08 16:08:17","cup",1
